customer_id,customer_name,age,gender,city,state,account_type,join_date,balance,age_group
C00001,Yashvi Sachdev,28,Male,Pune,Maharashtra,Current,2024-07-26,138393,21-30
C00002,Ahana  Agrawal,29,Male,Coimbatore,Tamil Nadu,Savings,2022-01-03,319588,21-30
C00003,Saksham Ghosh,23,Male,Hyderabad,Telangana,Savings,2023-07-03,124629,21-30
C00004,Anvi Golla,53,Male,Coimbatore,Tamil Nadu,Savings,2022-03-14,385400,51-60
C00005,Sahil Rama,55,Female,Pune,Maharashtra,Savings,2024-04-11,245514,51-60
C00006,Ivana Hans,38,Male,Mumbai,Maharashtra,Savings,2024-06-14,376026,31-40
C00007,Akarsh Lal,42,Female,Hyderabad,Telangana,Savings,2025-05-25,122886,41-50
C00008,Kavya Baria,42,Male,Kochi,Kerala,Savings,2024-08-19,209191,41-50
C00009,Aarna Apte,43,Female,Chennai,Tamil Nadu,Current,2024-10-29,433167,41-50
C00010,Inaaya  Kaul,50,Male,Chennai,Tamil Nadu,Current,2023-02-12,51313,41-50
C00011,Nitya Zacharia,39,Female,Mumbai,Maharashtra,Savings,2026-04-28,379398,31-40
C00012,Hrishita Kadakia,23,Male,Chennai,Tamil Nadu,Current,2022-08-09,51833,21-30
C00013,Vanya Dewan,35,Male,Kochi,Kerala,Current,2022-10-14,155738,31-40
C00014,Badal Walla,44,Male,Hyderabad,Telangana,Current,2025-10-30,196264,41-50
C00015,Ojas Yogi,38,Male,Coimbatore,Tamil Nadu,Savings,2022-11-18,290043,31-40
C00016,Saksham Khare,36,Male,Pune,Maharashtra,Current,2025-01-31,208943,31-40
C00017,Ryan Kibe,56,Male,Bangalore,Karnataka,Current,2022-07-18,451897,51-60
C00018,Anvi Mallick,24,Male,Kochi,Kerala,Savings,2021-06-27,432075,21-30
C00019,Riya Mammen,46,Female,Bangalore,Karnataka,Savings,2024-12-11,120615,41-50
C00020,Mannat Balan,41,Male,Mumbai,Maharashtra,Current,2023-08-23,217425,41-50
C00021,Zeeshan Saha,50,Male,Pune,Maharashtra,Current,2023-04-07,83206,41-50
C00022,Renee Wali,56,Female,Coimbatore,Tamil Nadu,Current,2022-02-27,480717,51-60
C00023,Tejas Chopra,46,Female,Mumbai,Maharashtra,Savings,2022-09-30,82525,41-50
C00024,Raunak Sur,52,Male,Mumbai,Maharashtra,Savings,2025-02-05,461465,51-60
C00025,Anaya Aurora,30,Male,Chennai,Tamil Nadu,Current,2025-02-23,322690,21-30
C00026,Vardaniya Shukla,45,Female,Chennai,Tamil Nadu,Current,2023-12-21,287408,41-50
C00027,Taimur Subramanian,56,Male,Bangalore,Karnataka,Savings,2025-07-09,367412,51-60
C00028,Aaina Sahota,38,Female,Mumbai,Maharashtra,Savings,2023-08-18,163878,31-40
C00029,Hridaan Varty,31,Female,Hyderabad,Telangana,Savings,2023-04-21,388584,31-40
C00030,Shray Keer,37,Male,Pune,Maharashtra,Savings,2022-12-07,466402,31-40
C00031,Zaina Konda,40,Male,Pune,Maharashtra,Savings,2023-10-28,206038,31-40
C00032,Indrans Apte,31,Male,Kochi,Kerala,Current,2026-03-05,266170,31-40
C00033,Emir Lad,28,Female,Chennai,Tamil Nadu,Current,2022-12-23,135541,21-30
C00034,Anaya Singhal,36,Male,Chennai,Tamil Nadu,Savings,2026-05-09,393730,31-40
C00035,Lakshit Karan,25,Male,Hyderabad,Telangana,Savings,2022-03-30,355899,21-30
C00036,Heer Kaur,56,Male,Hyderabad,Telangana,Current,2022-11-03,286653,51-60
C00037,Samar Chowdhury,59,Female,Kochi,Kerala,Savings,2024-10-14,497018,51-60
C00038,Kabir Anne,33,Female,Mumbai,Maharashtra,Current,2024-04-15,362157,31-40
C00039,Lakshit Kumar,44,Female,Pune,Maharashtra,Current,2024-11-23,73441,41-50
C00040,Kanav Sandal,35,Male,Coimbatore,Tamil Nadu,Current,2026-02-01,21028,31-40
C00041,Elakshi Wagle,56,Male,Mumbai,Maharashtra,Savings,2024-01-10,13770,51-60
C00042,Vivaan Bora,24,Male,Chennai,Tamil Nadu,Savings,2022-05-10,484700,21-30
C00043,Vivaan Sant,42,Male,Chennai,Tamil Nadu,Savings,2021-06-16,156002,41-50
C00044,Chirag Dani,52,Male,Pune,Maharashtra,Savings,2022-05-13,389245,51-60
C00045,Sana Gour,57,Female,Mumbai,Maharashtra,Savings,2022-01-11,421366,51-60
C00046,Aniruddh Bumb,47,Male,Hyderabad,Telangana,Savings,2024-04-30,60819,41-50
C00047,Eshani Kibe,48,Female,Pune,Maharashtra,Current,2022-05-15,225535,41-50
C00048,Priyansh Kurian,24,Male,Hyderabad,Telangana,Savings,2026-05-14,221089,21-30
C00049,Misha Bora,42,Male,Pune,Maharashtra,Savings,2025-03-17,110448,41-50
C00050,Azad Sampath,55,Female,Coimbatore,Tamil Nadu,Savings,2024-01-05,231187,51-60
C00051,Eshani Boase,38,Female,Coimbatore,Tamil Nadu,Savings,2025-10-11,468482,31-40
C00052,Veer Walia,49,Male,Chennai,Tamil Nadu,Savings,2023-01-13,351911,41-50
C00053,Armaan Bhatnagar,21,Male,Mumbai,Maharashtra,Savings,2025-05-25,97194,21-30
C00054,Vivaan Golla,52,Female,Hyderabad,Telangana,Savings,2025-05-28,463325,51-60
C00055,Vardaniya Kala,24,Male,Hyderabad,Telangana,Current,2025-03-20,11130,21-30
C00056,Hrishita Kadakia,37,Female,Hyderabad,Telangana,Current,2022-04-16,231777,31-40
C00057,Hrishita Bansal,56,Female,Pune,Maharashtra,Savings,2022-05-15,109561,51-60
C00058,Ivan Dugar,34,Male,Bangalore,Karnataka,Savings,2024-06-25,402154,31-40
C00059,Anika Lad,24,Male,Bangalore,Karnataka,Current,2024-05-28,273638,21-30
C00060,Advik Desai,54,Male,Kochi,Kerala,Savings,2026-03-07,276248,51-60
C00061,Anahita Chadha,32,Male,Chennai,Tamil Nadu,Savings,2025-05-02,364005,31-40
C00062,Nitya Joshi,36,Female,Kochi,Kerala,Savings,2023-10-20,476766,31-40
C00063,Mahika Anand,36,Male,Mumbai,Maharashtra,Savings,2025-06-03,229794,31-40
C00064,Lagan Sarin,58,Female,Pune,Maharashtra,Current,2022-04-11,117090,51-60
C00065,Sana Gaba,41,Male,Pune,Maharashtra,Current,2022-12-02,217505,41-50
C00066,Kavya Dubey,40,Female,Coimbatore,Tamil Nadu,Current,2025-04-17,497073,31-40
C00067,Khushi Varughese,25,Male,Kochi,Kerala,Current,2024-07-24,335666,21-30
C00068,Nitya Ganesan,27,Male,Mumbai,Maharashtra,Savings,2026-04-24,275229,21-30
C00069,Darshit Sampath,29,Female,Bangalore,Karnataka,Savings,2022-04-14,470990,21-30
C00070,Mehul Chaudhry,44,Female,Coimbatore,Tamil Nadu,Savings,2025-03-17,239734,41-50
C00071,Faiyaz Tara,55,Female,Kochi,Kerala,Savings,2024-10-27,360152,51-60
C00072,Nitara Hans,56,Female,Kochi,Kerala,Savings,2021-08-14,470391,51-60
C00073,Diya Kala,37,Male,Coimbatore,Tamil Nadu,Savings,2025-11-14,399240,31-40
C00074,Urvi Bal,30,Female,Mumbai,Maharashtra,Current,2026-04-15,327105,21-30
C00075,Riaan Gopal,42,Male,Coimbatore,Tamil Nadu,Current,2022-02-12,274979,41-50
C00076,Parinaaz Sarkar,37,Male,Hyderabad,Telangana,Savings,2023-03-24,342547,31-40
C00077,Urvi Ramanathan,38,Male,Hyderabad,Telangana,Savings,2023-04-02,184879,31-40
C00078,Oorja Grover,29,Female,Kochi,Kerala,Savings,2021-09-22,398618,21-30
C00079,Lavanya Subramaniam,56,Female,Hyderabad,Telangana,Savings,2024-10-27,68654,51-60
C00080,Adira Bhatti,30,Male,Chennai,Tamil Nadu,Current,2024-01-12,315402,21-30
C00081,Advika Swaminathan,30,Female,Mumbai,Maharashtra,Savings,2025-03-26,31930,21-30
C00082,Sumer Mann,44,Male,Bangalore,Karnataka,Current,2023-05-06,120140,41-50
C00083,Faiyaz Saxena,36,Male,Pune,Maharashtra,Current,2021-07-24,419005,31-40
C00084,Zaina Dar,47,Male,Mumbai,Maharashtra,Savings,2021-08-03,463302,41-50
C00085,Mehul Mallick,32,Female,Coimbatore,Tamil Nadu,Savings,2026-04-10,104036,31-40
C00086,Jayesh Mangat,42,Female,Pune,Maharashtra,Savings,2022-04-27,149883,41-50
C00087,Amira Karan,27,Female,Coimbatore,Tamil Nadu,Savings,2021-07-29,460150,21-30
C00088,Tanya Devi,35,Male,Hyderabad,Telangana,Current,2022-07-14,193321,31-40
C00089,Arhaan Varma,35,Male,Bangalore,Karnataka,Savings,2021-12-31,356047,31-40
C00090,Darshit Randhawa,46,Female,Coimbatore,Tamil Nadu,Current,2025-08-01,463169,41-50
C00091,Krish Garg,38,Female,Chennai,Tamil Nadu,Current,2024-10-31,366263,31-40
C00092,Nitara Deol,55,Female,Kochi,Kerala,Savings,2024-04-21,70472,51-60
C00093,Jhanvi Ramakrishnan,32,Female,Bangalore,Karnataka,Savings,2023-03-25,66834,31-40
C00094,Zara Virk,48,Female,Mumbai,Maharashtra,Current,2025-05-28,238796,41-50
C00095,Anay Yadav,53,Male,Mumbai,Maharashtra,Current,2022-09-12,481599,51-60
C00096,Ivan Babu,33,Female,Mumbai,Maharashtra,Savings,2024-03-23,381607,31-40
C00097,Kanav Subramaniam,21,Male,Hyderabad,Telangana,Current,2023-04-01,236124,21-30
C00098,Riaan Kar,42,Female,Chennai,Tamil Nadu,Savings,2023-05-01,387358,41-50
C00099,Reyansh Chakrabarti,53,Female,Bangalore,Karnataka,Current,2022-10-02,181013,51-60
C00100,Alia Bhatt,39,Male,Hyderabad,Telangana,Savings,2023-07-31,230434,31-40
C00101,Onkar Mandal,45,Male,Pune,Maharashtra,Current,2022-03-28,222900,41-50
C00102,Devansh Manne,21,Female,Mumbai,Maharashtra,Current,2025-05-16,120196,21-30
C00103,Arhaan Kothari,58,Female,Hyderabad,Telangana,Current,2024-09-29,241623,51-60
C00104,Mehul Yogi,34,Female,Hyderabad,Telangana,Savings,2025-07-07,355427,31-40
C00105,Jivin Atwal,39,Female,Chennai,Tamil Nadu,Savings,2021-11-13,439089,31-40
C00106,Rasha Borra,36,Female,Kochi,Kerala,Savings,2023-02-02,432871,31-40
C00107,Aniruddh Dutta,30,Male,Coimbatore,Tamil Nadu,Savings,2026-02-01,138368,21-30
C00108,Abram Master,60,Male,Hyderabad,Telangana,Current,2023-04-28,227286,51-60
